ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,number_rented,revenue,latitude,longitude,is_superhost,number_of_reviews,2023_price,2023_predict_price,2024_price,2024_predict_price,2025_price,2025_predict_price,2026_price,2026_predict_price
15484946,2.00,3.00,5.00,Espaço inteiro: apartamento,29,29000.00,-27.13,-48.60,False,3,1000.00,996.83,1038.10,1034.33,1079.52,1082.52,1122.70,1115.52
54211269,3.00,3.00,4.00,Espaço inteiro: apartamento,31,29000.00,-27.14,-48.59,False,1,935.48,937.92,971.13,970.53,1009.87,1012.06,1050.27,1054.16
40224344,2.00,3.00,3.00,Espaço inteiro: apartamento,40,28950.00,-27.13,-48.60,False,1,723.75,728.75,751.32,755.17,781.30,784.49,812.55,817.89
547623614369864701,2.00,3.00,7.00,Espaço inteiro: apartamento,42,28820.00,-27.12,-48.61,False,4,686.19,701.65,712.33,725.66,740.76,757.10,770.39,784.84
19952227,3.00,4.00,4.00,Espaço inteiro: condomínio,22,28600.00,-27.12,-48.61,False,9,1300.00,1244.91,1349.53,1302.97,1403.38,1356.80,1459.51,1414.11
698788704934171272,1.00,1.00,1.00,Quarto inteiro em apartamento,336,28560.00,-27.11,-48.62,True,0,85.00,90.10,88.24,93.41,91.76,96.81,95.43,100.86
20075152,1.00,1.00,1.00,Quarto inteiro em apartamento,232,28250.00,-27.14,-48.59,False,55,121.77,128.54,126.41,134.69,131.45,137.85,136.71,145.74
53797410,2.00,2.00,2.00,Espaço inteiro: apartamento,95,28100.00,-27.14,-48.59,False,10,295.79,304.46,307.06,318.12,319.31,329.11,332.08,344.76
53784203,1.00,2.00,2.00,Espaço inteiro: apartamento,187,28050.00,-27.10,-48.62,False,0,150.00,165.77,155.72,173.65,161.93,179.01,168.41,186.62
51990592,2.00,3.00,7.00,Espaço inteiro: apartamento,29,27913.00,-27.12,-48.60,True,19,962.52,968.96,999.19,1011.23,1039.06,1044.55,1080.62,1090.03
52596621,3.00,3.00,3.00,Espaço inteiro: apartamento,24,27900.00,-27.14,-48.59,False,4,1162.50,1125.53,1206.79,1164.07,1254.94,1212.51,1305.14,1251.73
29484679,2.00,3.00,5.00,Espaço inteiro: apartamento,41,27900.00,-27.10,-48.61,False,1,680.49,694.32,706.41,720.89,734.60,746.98,763.98,775.72
52298467,2.00,2.00,2.00,Espaço inteiro: condomínio,90,27870.00,-27.12,-48.61,False,0,309.67,311.59,321.46,324.93,334.29,335.60,347.66,351.51
52172003,2.00,2.00,4.00,Espaço inteiro: apartamento,47,27742.00,-27.10,-48.61,True,12,590.26,602.87,612.74,623.20,637.19,645.52,662.68,672.32
50373089,2.00,2.00,3.00,Espaço inteiro: condomínio,34,27730.00,-27.14,-48.59,False,1,815.59,793.65,846.66,826.48,880.44,854.29,915.66,889.35
